Année de notification;Intitulé exhaustif du marché;Nature du marché;Date de signature;Titulaire;Code postal;Montant minimum HT;Montant maximum HT ou Montant global et forfaitaire HT;Filename
2013;Mission de maîtrise d’œuvre relative à la rénovation de la rampe d’accès au quai de livraison de l’ÉHPAD « Alquier DEBROUSSE », sis 1 allée Alquier DEBROUSSE 75020 Paris;Services;2013-01-28;Rolland JACOUTOT;75005;;23040;Open Data 2013
2013;Suivi et support des progiciels PIAF;Services;2013-01-29;JVS IMPLICIT;51520;219064;627090;Open Data 2013
2013;Rénovation et amélioration de 5 chaufferies dans 5 établissements Lot n°3;Travaux;2013-02-08;SARL SADC;93160;;255755;Open Data 2013
2013;Prélèvement et analyses bactériologiques (recherche de légionella pneumophila dans les circuits d'eau chaude sanitaire) effectués dans les établissements du CAS-VP par un laboratoire agréé;Services;2013-03-04;Bio-Goujard;75017;;20000;Open Data 2013
2013;Acquisition, intégration, maintenance et support d’un logiciel de gestion comptable à destination des régies d’avances et de recettes du Centre d’Action Sociale de la Ville de Paris;Fournitures;2013-03-28;Futur System;13015;125418.06;250836.12;Open Data 2013
2013;Marché complémentaire d'assistance à maitrise d'ouvrage dans le cadre de la mise en place de la nouvelle version d'HR ACCESS SUITE 7;Services;2013-04-02;RH Net;13001;75000;150000;Open Data 2013
2013;Nettoyage des locaux du CHRS Poterne des Peupliers et des locaux des sites provisoires d’accueil du CHU George Sand et du CHRS Pixérécourt;Services;2013-04-29;Guy Challancin;93400;Sans minimum;Sans maximum;Open Data 2013
2013;Marché négocié « Prestation de paramétrage du logiciel libre Alfresco pour mise en œuvre d’une gestion électronique des documents relatifs à l’Aide Sociale, Tierce Maintenance Applicative correspondante et fourniture des licences de logiciel de capture»;Services;2013-04-29;GFI Progiciel;93400;200000;600000;Open Data 2013
2013;Mobilier salons, accueils, salles à manger - EHPAD Jardin des Plantes;Fournitures;2013-05-27;KUSCH;21910;;32725.93;Open Data 2013
2013;Fourniture et prestation de buffets destinés aux personnes retraitées à l'hôtel de Ville de Paris organisés par le CASVP en 2013 et 2014;Services;2013-05-31;Mac'amande;92400;;28745.55;Open Data 2013
